source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,role_group
job.am,aggregator,https://job.am/en/job/system-administrator-71040,System Administrator,Gulf Armenia,Yerevan,Full Time,Senior,,,2026-03-22,,"Gulf Armenia is looking for an experienced System Administrator to join our team.

Oversee the installation, configuration, and maintenance of all hardware and software systems, including servers, networks, workstations, and security systems. Manage IT support for employees — troubleshoot hardware, software, and network connectivity issues, ensuring minimal downtime. Administer QNAP NAS systems: user access, backups, snapshots, and remote replication. Configure and maintain Fortigate firewalls, VPNs, and network security policies to safeguard company assets. Implement and monitor network infrastructure (LAN, WAN, VLAN, DHCP, DNS, Wi-Fi). Set up and maintain Moxa devices (switches, serial-to-Ethernet converters, gateways) for communication with industrial equipment. Configure and troubleshoot RS-485 / Modbus communication protocols for integration with controllers and IoT devices. Manage data protection, backups, and disaster recovery plans across systems and storage platforms. Conduct regular security audits, monitor network performance, and proactively identify risks. Collaborate with other departments to understand their technology needs and provide tailored IT solutions. Manage vendor relationships and service provider contracts to ensure reliability and cost-effectiveness. Document IT systems, configurations, and procedures, ensuring accuracy and consistency.

Minimum 4 years of experience as a System Administrator or similar role, ideally in a non-IT-focused or industrial organization. Bachelor’s degree in Information Technology, Computer Science, or a related field (Master’s preferred). Strong English and Russian communication skills. Solid knowledge of network infrastructure, server management, and systems integration. Proven experience with QNAP NAS management and data backup strategies. Fortigate firewall configuration and VPN management. Moxa industrial devices (switches, serial converters, remote I/O). RS-485/Modbus serial communication setup and diagnostics. Experience with Windows Server, Active Directory, and Linux environments. Understanding of network security, firewall rules, and data protection practices. Excellent analytical, problem-solving, and troubleshooting skills. Company օverview Address Տիգրան Մեծ 16 Number of employees 151-500 Phone +374 94 781801 Gulf Armenia is a new gas station brand operating in Armenia, offering a range of fuels and services. Our success is driven by high quality fuel, wide range of convenience store products, quality coffee, attractive fast food offer and exceptional customer service. This international brand has been represented officially in Armenia by ""AMRECO"" LLC, since 2024. We trace the establishment of our world brand to 1901 in the USA. Nowadays Gulf Oil International distributes high quality oil products to more than 100 countries and is one of the major players in the world market. We import fuel from the best oil refineries in Europe whose quality controls comply with world class standards. Gulf refueling stations are distinguished with modern equipment and western state of the art innovative technologies. Gulf is one of the new major employers in Armenia. Continuing to build the strong team is a great challenge for the Company. For these reasons Gulf is always focused on recruiting the brightest and most talented people. Our company is oriented on and always tries to capture opportunities for growth and development. See more Benefits Corporate events Free tea, coffee and refreshments Reward system Trainings Free parking",DevOps / Cloud
job.am,aggregator,https://job.am/en/job/system-administrator-72065,System Administrator,RINGO,"Erebuni, Yerevan",Full Time,Mid level,,,2026-04-06,,"RINGO is looking for a System Administrator to join our team.

Oversee the installation, configuration, and maintenance of all hardware and software systems, including servers, networks, workstations, and security systems. Manage IT support for employees — troubleshoot hardware, software, and network connectivity issues, ensuring minimal downtime Implement and monitor network infrastructure (LAN, WAN, VLAN, DHCP, DNS, Wi-Fi). Manage data protection, backups, and disaster recovery plans across systems and storage platforms. Collaborate with other departments to understand their technology needs and contact with outsource service providers Document IT systems, configurations, and procedures, ensuring accuracy and consistency.

Experience as a System Administrator or similar role, ideally in a fast food organization. Education in Information Technology, Computer Science, or a related field. Strong knowledge of network infrastructure, server management, and systems integration. Understanding of network security, firewall rules, and data protection practices. Excellent analytical, problem-solving, and troubleshooting skills. Experience and knowledge of iiko software is an advatage. Company օverview Phone +374 41 299220",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/system-administrator-at-abs-technologies-4385743315?refId=Tc5%2FndKtTBN1wgKaKxf%2BZg%3D%3D&trackingId=uhS9eH57yMfHs%2FL0aQyV0Q%3D%3D&position=20&pageNum=0,System Administrator,ABS Technologies,"Yerevan, Armenia",Full-time,,,2026-03-20,,,"Մեր թիմին անհրաժեշտ է համակարգային ադմինիստրատոր, ով պատասխանատու կլինի ընկերության ՏՏ ենթակառուցվածքի, սերվերների, ցանցային սարքավորումների անխափան աշխատանքի համար:
ՊարտականություններՆախագծել, տեղակայել եւ կարգաբերել սերվերային ու գործառնական միջավայրերըԿառավարել Windows, Linux Server եւ հարակից ենթակառուցվածքները.Ապահովել համակարգերի անխափան աշխատանքը, մշտադիտարկումն ու խնդիրների վերացումը.Կազմակերպել թարմացումները, միգրացիաները եւ տարբերակների կառավարումը.Ապահովել պահուստավորում, վերականգնում եւ տվյալների պահպանություն.Ապահովել տեղեկատվական անվտանգության պահանջների իրականացումը եւ համապատասխանությունը.Փաստաթղթավորել աշխատանքները, փոխանցել գիտելիքները եւ աջակցել հաճախորդների onboarding-ին:
Պահանջվող որակավորումներՀամակարգերի եւ ցանցերի ադմինիստրացիայի ոլորտում հիմնավոր մասնագիտական փորձԼավ պատկերացում ցանցային հիմունքների վերաբերյալ՝ ներառյալ TCP/IP, տեղային եւ լայնածավալ ցանցեր, DNS, DHCP, NAT եւ firewall-ների աշխատանքի տրամաբանությունըԳործնական փորձ Microsoft Windows Server միջավայրում, Active Directory-ի, DNS/DHCP ծառայությունների եւ Group Policy-ի կառավարման ուղղությամբVMware վիրտուալացման տեխնոլոգիաների հետ աշխատելու փորձPowerShell-ի օգտագործման բազային հմտություններ՝ առօրյա ադմինիստրատիվ խնդիրների ավտոմատացման համարԼավ գիտելիքներ Microsoft SQL Server-ի ուղղությամբ՝ տեղակայում, սպասարկում, պահուստավորում եւ վերականգնում, ինչպես նաեւ պարզ հարցումների և խնդիրների վերլուծությունԼեզուների իմացություն՝ հայերեն, ռուսերեն եւ անգլերեն",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/cloud-platform-engineer-remote-at-alex-staff-4370355828?refId=HBlt4Z%2BDVe5rZiXo6QlaMQ%3D%3D&trackingId=YN4PEmMLCGHNg2ZuMcd0Eg%3D%3D&position=10&pageNum=0,Cloud / Platform Engineer (Remote),Alex Staff,Armenia,Full-time,Mid-Senior level,IT Services and IT Consulting,2026-02-08,,,"About The Company & Product

A USA based product EdTech company with over 20 years on the market. The company builds and operates cloud platforms for digital learning content, used daily by millions of students and educators worldwide. The product is global, high-load, and runs on a distributed cloud infrastructure with a mature engineering culture.

About The Role

We are looking for a Cloud / Platform Engineer to join the Systems Engineering team. This role is focused on production reliability, Kubernetes, and cloud infrastructure, not just CI/CD.

Responsibilities

Support and develop AWS or GCP infrastructure (multi-region)Operate and troubleshoot Kubernetes platformsManage infrastructure using Infrastructure as Code (Terraform)Ensure system uptime, performance, and monitoringParticipate in on-call rotations, incident response, and post-mortemsCollaborate closely with software engineering teams

Requirements

3+ years of experience with cloud infrastructureHands-on production experience with real usersStrong Kubernetes experience (operations, not just deployments)Terraform and automation (Python / Bash / Go)Experience with on-call and incident handlingFluent Russian or Ukrainian; working English

Benefits

Stable US product company with a long-term visionFully remote workMature, blame-free engineering cultureModern tech stack and global-scale systemsLearning and growth opportunitiesCompetitive compensationLocation: Europe / Eastern Europe / CISLanguages: Russian or Ukrainian (required), English (working level)",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-database-reliability-engineer-dbre-architect-at-alex-staff-4388328783?refId=a09yLQ7E3flSB3Y0o7eI3Q%3D%3D&trackingId=5GXcrXv1jbTO9WPC64cZ1w%3D%3D&position=1&pageNum=1,Senior Database Reliability Engineer (DBRE) & Architect,Alex Staff,Armenia,Full-time,Mid-Senior level,IT Services and IT Consulting,2026-02-23,,,"This position is open at a global product-led IT company specializing in infrastructure stability and security solutions. Their products are recognized as the industry standard in the Hosting and Enterprise segments, powering over 500,000 servers worldwide.

In 2025, the company is evolving its data management strategy, shifting from traditional database administration to an Internal Database-as-a-Service (DBaaS) model. This role requires a visionary engineer to design resilient distributed systems, automate infrastructure through code, and transform databases into a reliable service for product teams. This is an ideal opportunity for those ready to handle petabytes of data and build high-scale platform solutions.

Key Challenges & Responsibilities:

Designing and implementing a self-service platform (Terraform + Ansible) for deploying HA clusters (PostgreSQL, ClickHouse, MongoDB, Redis) in a heterogeneous environment (Bare Metal, OpenNebula, K8s, Public Clouds)Managing rapidly growing analytics clusters (12+ clusters, tens of terabytes), focusing on sharding, ReplicatedMergeTree, and building reliable S3 backup pipelines under high loadMaintaining and scaling infrastructure for Apache Airflow and Redash, ensuring the reliability of ETL pipelines and visualization toolsImplementing SRE practices in data management: replacing manual incident response with automated self-healing mechanisms and defining SLO/SLIsMigrating legacy solutions to modern cloud patterns and implementing Kubernetes operators for stateful workloadsServing as a technical authority for product teams to optimize data schemas and SQL queries for high-load systems

Tech Stack:

DB: PostgreSQL 15+ (Patroni, PgBouncer), ClickHouse (Sharded/Replicated), MongoDB, Redis, KafkaData & Analytics: Apache Airflow, RedashInfrastructure: Hybrid Cloud (3+ private DCs, OpenNebula, K8s, Bare Metal, AWS, GCP, Azure, DO)IaC & CI/CD: Terraform, Ansible, Python/Go, GitLab, Jenkins, GerritObservability: VictoriaMetrics, Grafana, Loki

Requirements

Must have:

5+ years of PostgreSQL expertise: deep knowledge of MVCC, locking mechanics, expert-level Patroni/PgBouncer configuration, and experience with seamless major version upgrades under loadClickHouse mastery: experience operating large clusters, understanding ZooKeeper/ClickHouse Keeper, sharding, replication internals, and performance diagnostics at the data-part levelEngineering mindset (SRE/DevOps): experience writing complex Terraform modules and Ansible roles; proficiency in Python or Go for automation is a major assetHybrid environment experience: understanding the nuances of running DBs on Bare Metal vs. Kubernetes vs. Public Cloud, with the ability to optimize TCO and disk subsystem performance (NVMe, Network Storage)Systems approach: understanding the full stack from network packets to business logic, including security standards (FIPS, Audit logs) and Disaster Recovery

Nice to Have:

Experience building an Internal Developer Platform (IDP)Experience operating databases in Kubernetes via operators (CloudNativePG, Altinity Operator)Background working with Cloud or Hosting providers on similar services

Benefits

 Fully remote work from any location worldwide and flexible working hours Opportunity to impact architectural decisions for services used by thousands of companies globally 24 days of vacation, 10 national holidays, and unlimited paid sick leave Compensation for private medical insurance Reimbursement for co-working spaces and gym/sports activities Dedicated budget for education, training, and conferences Reward program for innovative ideas that lead to company patents",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/platform-release-engineer-at-align-technology-4367215882?refId=a09yLQ7E3flSB3Y0o7eI3Q%3D%3D&trackingId=30%2FXABvsZvVQwgvLFidlnQ%3D%3D&position=19&pageNum=1,Platform Release Engineer,Align Technology,"Yerevan, Yerevan, Armenia",Full-time,Entry level,Medical Equipment Manufacturing,2026-03-01,,,"Department: Information Technology

Location: EMEA-Armenia-Yerevan

Description

We are seeking a motivated individual to join our team as an DevOps/Release Engineer. This role is focused on the foundational aspects of DevOps, including security, compliance, networking, and continuous integration and delivery (CI/CD). Prior experience is not required, making this an excellent opportunity for those looking to start their career in a supportive and growth-oriented environment.

Key Responsibilities

Responsibilities and Duties:

As a DevOps/Release Engineer, you will gain valuable insight and practical skills in managing the release process, while working alongside experienced professionals in a fast-paced and dynamic environmentWork closely with cross-functional teams to coordinate and schedule staging environment maintenances and data refreshesAssist in developing and implementing strategies for efficient and effective staging environment managementThese responsibilities will build a firm grasp of release management, agile delivery concepts, and a keen eye on continuous improvementManage networking resources to ensure secure and efficient configurations.Engage in process improvement initiatives for CI/CD, including automation, monitoring, and optimization.Keep abreast of the latest trends and technologies in Azure DevOps, security, and compliance.

Qualifications

Skills, Knowledge & Expertise

Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent educational experience.5+ years of relevant experienceA foundational understanding of DevOps, security, compliance, and networking principles.Knowledge of CI/CD methodologies.Strong analytical and problem-solving skills.A proactive learning mindset and ability to adapt to changing priorities and handle unexpected challenges with a positive attitudeExcellent communication and interpersonal skills, with the ability to collaborate effectively across teams and functions

Preferred:

Hands on experience on Atlassian stack: Jira, Confluence, Bamboo, BitbucketGit-based version control systems: Bitbucket, GithubCI/CD pipeline tools, especially BambooFamiliarity with a programming language, Python preferredContainer based deployment, i.e. DockerArtifactoryCloud experience: AWS, Azure

Applicant Privacy Policy

Review our Applicant Privacy Policyfor additional information.

Equal Opportunity Statement

Align Technology is an equal opportunity employer. We are committed to providing equal employment opportunities in all our practices, without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, disability, sexual orientation, gender identity or expression, or any other legally protected category. Applicants must be legally authorized to work in the country for which they are applying, and employment eligibility will be verified as a condition of hire.",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/database-administrator-at-ardshinbank-ojsc-4385450538?refId=f38afVhc8fiIhVgJKkhmtw%3D%3D&trackingId=3yVgdCgEBiB9%2FMy2D1wNtQ%3D%3D&position=25&pageNum=0,Database Administrator,Ardshinbank OJSC,"Yerevan, Yerevan, Armenia",Full-time,Entry level,Banking,2026-03-19,,,"Ardshinbank is the leading Bank in Armenia with a diversified universal banking offering retail and commercial banking, investment banking, and private & wealth solutions. The Bank serves over 375,000 customers served by more than 2,000 employees and operates the largest branch network in the country with 70+ branches. We are proud to be the only Armenian bank with credit ratings equal to the national government, certified by major international agencies.
We are seeking an experienced and proactive Database Administrator (DBA) to join our IT team and ensure the performance, integrity, security, and availability of our mission-critical database systems. The ideal candidate will have strong hands-on experience with Oracle, MongoDB, PostgreSQL, and Microsoft SQL Server, especially in installation, configuration, replication, optimization, and support within high-availability banking environments.
Job responsibilities:
PostgreSQL AdministrationImplement and manage asynchronous and synchronous streaming replication.Ensure PostgreSQL instances meet business SLA objectives with RTO and RPO for production systems.Conduct regular maintenance tasks (VACUUM, ANALYZE, REINDEX, bloat management).Design and manage efficient backup strategies (e.g., pgBackRest, WAL archiving) and test recovery procedures.Perform performance tuning, query optimization, and index analysis for mission-critical workloads.Monitor health, replication status, and system logs using tools like Prometheus.Oracle Database AdministrationInstall and configure Oracle Database (Enterprise Editions) in production and DR environments.Set up and manage Oracle Data Guard for high-availabilityEnsure high availability, low-latency performance, and adherence to strict SLA and RTO/RPO requirements.Perform routine patching, version upgrades, and critical security updates with minimal downtime.Conduct performance tuning (SQL, memory, I/O, and optimizer plans) and proactive resource management.Implement and maintain RMAN backup strategies, including automated recovery procedures.Monitor database health, logs, and replication status; resolve incidents and performance bottlenecks promptly.Work closely with infrastructure and application teams to ensure database alignment with business continuity and compliance standards.MongoDB AdministrationInstall, configure, and upgrade MongoDB standalone and replica set environments.Manage user access control and authentication mechanisms.Monitor and tune performance, handle backup/restore and disaster recovery scenarios.Implement monitoring and alerting for database health and availability.Microsoft SQL Server AdministrationInstall and configure SQL Server instances (Standard/Enterprise).Manage backups, high availability configurations .Perform regular performance tuning, index management, and query optimization.Troubleshoot and resolve database-related incidents and outages.General Duties:Monitor and support database servers .Analyze system logs and identify potential issues proactively.Ensure data security, compliance, and adherence to internal IT policies.Collaborate with development, infrastructure, and application support teams.Document all database environments and operational procedures clearly.
Required qualifications:
Bachelor’s or Master’s degree in Computer Science, Information Technology, or related field.3+ years of experience as a DBA in production environments.Proven experience in installing, managing, and supporting MongoDB, PostgreSQL, and MSSQL in enterprise setups.Strong knowledge of replication, backup/recovery, disaster recovery planning.Experience in banking or financial services industry is a strong plus.Familiarity with monitoring tools (e.g., Prometheus, Grafana, SQL Sentry, or equivalent).Scripting knowledge (Shell, PowerShell, or Python) is a plus.Strong problem-solving and analytical skills.High attention to detail and commitment to data integrity.Ability to work independently and handle multiple priorities.Good communication and teamwork skills.

Benefits:
IT team based in an external office, not at the bank.4 paid days off per year24 vacation days per yearMedical and life insurance coverage.Flexible work schedule and remote work optionsMultiple types of bonuses (performance-based, annual and referral bonuses)Comprehensive learning packageEmployee discounts on bank’s products or services
",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/platform-engineering-team-lead-relocation-to-spain-at-brainrocket-4381203435?refId=AXAiqy6T5OFoCA7KtajcNw%3D%3D&trackingId=uBnYM3SDpsT0amEsuEoW1w%3D%3D&position=23&pageNum=2,Platform Engineering Team Lead (relocation to Spain),BrainRocket,"Yerevan, Armenia",Full-time,Mid-Senior level,Software Development and Gambling Facilities and Casinos,2026-03-07,,,"BrainRocket is a global company creating end-to-end tech products for clients across Fintech, iGaming, and Marketing. Young, ambitious, and unstoppable, we've already taken Cyprus, Malta, Portugal, Poland, and Serbia by storm. Our BRO team consists of 1,300 bright minds creating innovative ideas and products. We don’t follow formats. We shape them. We build what works, launch it fast, and make sure it hits.
We invite the Platform/Release Engineering Team Lead to join our team in Valencia, Spain. ❗️ It's a 100% office-based position.
We are looking for a leader to head our internal CI infrastructure team. Your primary goal is to build a seamless and efficient SDLC. We are currently transitioning to a GitOps model (ArgoCD, Argo Rollouts) and building robust tools for managing test environments.
✅ Responsibilities:✔️ Technical Leadership: Manage the team and define the strategic direction for the company-wide CI/CD infrastructure.✔️ GitOps Transformation: Drive the migration of service deployments to ArgoCD and Argo Rollouts (Canary, Blue-Green).✔️ Tooling Development: Build internal services and Proof of Concepts (PoCs) to optimize team workflows, including environment management, Quality Gates, and release automation.✔️ Security & Quality: Integrate static analysis tools (SAST/DAST) and automate code quality checks within our pipelines.✔️ Optimization: Accelerate the build and distribution pipelines for mobile and web applications, ensuring overall infrastructure stability.
✅ Requirements:✔️ Experience: 5+ years in DevOps/Infrastructure/SRE/Release Engineering, coupled with proven team leadership or tech lead experience.✔️ Core Skills: Deep expertise in Kubernetes, Docker, and Helm.✔️ Argo Ecosystem: Hands-on experience with ArgoCD and Argo Rollouts.✔️ CI Tools: Practical, in-depth experience with GitLab CI and Jenkins.✔️ Development: Strong programming skills in Python (or TS/JS as an alternative) for building internal tooling and automation.✔️ Observability: Solid experience with Grafana and OpenTelemetry.✔️ Architecture: Understanding of microservices architecture, message brokers (RabbitMQ/Kafka/NATS), and network protocols (gRPC, GraphQL, WebSockets).✔️ Domain Knowledge: Familiarity with the specific nuances of building and delivering Mobile (iOS/Android) and Web applications.
✅ Nice to have: ✔️ Experience integrating AI tools into development and testing processes.✔️ Familiarity with Service Catalogs (Backstage, Port.io, or similar equivalents).✔️ Proven track record of driving and implementing technological changes at a company-wide level.✔️ Hands-on experience with AWS and HashiCorp Vault.
✅ We offer excellent benefits, including but not limited to: 💻 Learning and development opportunities and interesting, challenging tasks.📚 Opportunity to develop language skills, with partial compensation for Spanish classes.✈️ Relocation package (tickets/2 weeks accommodation, and visa support).🏥 Medical insurance.🏝 23 working days of annual vacation and an additional 6 paid sick days.📈 Competitive remuneration level with annual review.🤝 Teambuilding activities.
Bold moves start here. Make yours. Apply today!",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/cad-ip-infrastructure-engineer-at-cisco-4365450753?refId=KQC1N5bzSd48yHmgYHeyNQ%3D%3D&trackingId=YBagKAsT9lDOImxkEuXhaw%3D%3D&position=24&pageNum=2,CAD/IP/Infrastructure Engineer,Cisco,Armenia,Full-time,Mid-Senior level,Software Development,2026-01-23,,,"Meet the Team

The Common Hardware Group (CHG) delivers silicon, optics, and hardware platforms for Cisco's core Switching, Routing, and Wireless products. We design the networking hardware for Enterprises and Service Providers of various sizes, the Public Sector, and Non-Profit Organizations across the world. Cisco Silicon One (#CiscoSiliconOne) is the only unifying silicon architecture in the market that enables customers to deploy the best-of-breed silicon from Top of Rack (TOR) switches all the way through web scale data centers and across service provider, enterprise networks, and data centers with a fully unified routing and switching portfolio. Come join us and take part in shaping Cisco's ground-breaking solutions by designing, developing and testing some of the most complex ASICs being developed in the industry.

Your Impact

We are seeking a highly motivated engineer to join CAD & Methodology Team. The candidate will play a critical role in ensuring that ASIC projects are fully enabled with vendor IPs, standard cells, and Process Design Kits (PDKs), working closely with both internal teams and external vendors to drive enablement and management of essential components.

Key Responsibilities

Develop the platform for IP/PDK installationsDevelop a platform for IP quality assuranceEstablish and maintain efficient IP management methodologies, including version control, qualification, and distribution.Collaborate with IP vendors and foundries to facilitate IP and PDK enablement for ASIC projects.Benchmarking of different vendor/technology IPsManage the integration, validation, and release of vendor IPs and PDKs into the internal design environment.Execute custom cells characterization and model generation with quality validation.Work with CAD, methodology, and physical design teams to ensure seamless enablement of design collateral, automation flows, and tool infrastructure.Evaluate and debug foundry PDKs, technology files, and libraries, ensuring they meet design requirements and flow compatibility.Develop and maintain documentation and guidelines for IP and PDK usage, integration, and best practices.

Minimum Qualifications

6+ years of experience in physical design enablement, CAD with strong knowledge of ASIC design flows, physical design methodologies, and foundry processes.Hands-on experience with IP installation, PDK enablement, and technology file management.Familiarity with EDA tools such as Synopsys, Cadence, Siemens for physical design and verification.Proficiency in scripting languages such as Python, TCL for automation and experience working with foundry process nodes and PDK management.Strong analytical and problem-solving skills with attention to detail and excellent communication & collaboration skills to work effectively across multiple teams and vendors.

Preferred Qualifications

Logic library characterization knowledge is a plus

Why Cisco?

At Cisco, we’re revolutionizing how data and infrastructure connect and protect organizations in the AI era – and beyond. We’ve been innovating fearlessly for 40 years to create solutions that power how humans and technology work together across the physical and digital worlds. These solutions provide customers with unparalleled security, visibility, and insights across the entire digital footprint.

Fueled by the depth and breadth of our technology, we experiment and create meaningful solutions. Add to that our worldwide network of doers and experts, and you’ll see that the opportunities to grow and build are limitless. We work as a team, collaborating with empathy to make really big things happen on a global scale. Because our solutions are everywhere, our impact is everywhere.

We are Cisco, and our power starts with you.",DevOps / Cloud
linkedin,aggregator,https://am.linkedin.com/jobs/view/devops-engineer-at-commit-4365113066?refId=HBlt4Z%2BDVe5rZiXo6QlaMQ%3D%3D&trackingId=GAaFQxF%2FePsixWfpI4V10w%3D%3D&position=4&pageNum=0,DevOps Engineer,Commit,"Yerevan, Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2026-01-21,,,"We are looking for a talented DevOps Engineer to join our team, working on cutting-edge AI infrastructure that powers our developer tools. If you have a passion for cloud infrastructure, love automating everything, and are eager to help shape the future of AI-powered development platforms, this is the perfect opportunity for you.

Why Join Us? 

Be part of an innovative team at the forefront of AI infrastructure for software developers.Work with cutting-edge cloud technologies and modern DevOps practices. Own and shape the infrastructure that powers AI agents and development tools. Collaborate with top-tier engineers building the next generation of developer tools.Solve complex challenges in a fast-paced, growing company.Enjoy a fun work environment with exciting opportunities as we rapidly expand. 

Our tech stack: Pulumi (TypeScript) (Huge advantage) , GitHub Actions (Big advantage) , AWS (ECS, RDS, VPC, Lambda, S3, ECR), Docker, , Datadog, PostgreSQL, Python, Node.js.

Responsibilities:

You'll play a key role in maintaining, optimizing, and scaling our cloud infrastructure. Responsibilities include managing infrastructure as code with Pulumi, maintaining comprehensive CI/CD pipelines with GitHub Actions, orchestrating containerized services on ECS, and ensuring reliable deployments across dev and production environments. You'll work with microservices architecture, optimize build and deployment processes, configure monitoring and alerting, and implement security best practices.

Requirements:

Requirements:

3 to 5 years of DevOps/Infrastructure Engineering experience Strong AWS expertise with hands-on experience in ECS/Fargate, VPC networking, RDS, IAM, and CloudWatchExperience with Infrastructure as Code tools such as Pulumi must know or Terraform, or CloudFormationExtensive experience with CI/CD pipelines (GitHub Actions preferred) Deep knowledge of Docker and containerization best practicesProficiency in TypeScript/JavaScript, Python, and BashStrong Linux/Unix system administration and command-line skillsUnderstanding of networking (TCP/IP, DNS, load balancing, network security) 

Advantage:

Experience with Pulumi (TypeScript) for infrastructure as codeHands-on experience with Datadog or similar APM/observability toolsStrong PostgreSQL administration and performance optimization experienceExperience designing and working with gRPC-based microservices architecturesExperience managing multi-account AWS environmentsFamiliarity with load testing tools such as Locust, k6, or similarExperience implementing CI/CD strategies for monorepo environments",DevOps / Cloud
