source,source_type,source_url,job_title,company_name,location,employment_type,seniority_level,industries,posting_date,deadline,skills_tags,full_text,role_group
job.am,aggregator,https://job.am/en/job/front-end-sksnak-cragravorogh-heravar-49062,Front-end սկսնակ ծրագրավորող (հեռավար),Berdl,Remote,Flexible,"Not required, Junior",,,2026-04-17,,"Կազմակերպությունը աշխատանքի է հրավիրում աղջիկ HTML, CSS, JS սկսնակ ծրագրավորող (հեռավար)։

Կայքերի վերականգնում WebArchive-ից Կայքում առաջացած խնդիրների հայտնաբերում և ուղղում Կայքի համար համապատասխան պրոդուկտի ձևանմուշների (template) մշակում Պրոդուկտների գեներացում և կայքում տեղադրում

Ինտերնետի և համակարգչի ԼԱՎ տիրապետում, Անգլերենի և ռուսերենի ԼԱՎ իմացություն, Աշխատասիրություն, HTML, CSS, JavaScript ԼԱՎ իմացություն։

Աշխատավայրը ՝ Կենտրոն համայնք, Դիմելու համար խնդրում ենք ուղարկել լուսանկարով CV։ Company օverview Number of employees 1-15 Website https://berdl.com/",Software Engineering
job.am,aggregator,https://job.am/en/job/senior-backend-developer-71824,Senior Backend Developer,Nika S.A,Yerevan,"Full Time, Part Time, Contract",Senior,,,2026-04-01,,"As a Backend Software Developer, you will be responsible for designing, developing, and maintaining backend services and APIs. You will collaborate with cross-functional teams to build robust and efficient backend systems that integrate seamlessly with front-end applications and cloud-based services. The ideal candidate will have a minimum of 3+ years of experience in backend development and a strong technical background in .NET Core, API development, and cloud services.

Design, develop, and maintain backend services and APIs. Optimize database performance and design efficient data models. Implement authentication, authorization, and security best practices. Develop and maintain asynchronous processing and messaging systems. Work closely with front-end and DevOps teams to integrate backend functionalities. Debug, troubleshoot, and improve system performance and reliability. Design and implement seamless integration between backend services and cloud-based services (e.g., AWS S3 for storage, AWS Lambda for processing). Establish and maintain robust API contracts with the front-end team to ensure smooth data exchange and feature delivery. Configure and monitor integration points with external third-party APIs and services. Collaborate with DevOps to integrate backend services into CI/CD pipelines for automated deployment and testing. Implement and integrate distributed tracing and logging solutions to monitor cross-service communication in event-driven and distributed architectures.

3+ years of experience in back-end development. Strong expertise in .NET Core / ASP.NET Core for building web APIs and backend services. Proficiency in C# with a focus on clean, efficient, and scalable code. Experience with relational databases such as PostgreSQL or SQL Server (writin complex queries, optimizing performance, designing schemas) Strong understanding of RESTful API design and development. Implementation of authentication and authorization using OAuth2, JWT, and AWS Cognito. Experience with asynchronous processing and messaging systems (e.g., Kafka, RabbitMQ, AWS SNS/SQS). Background in building distributed systems and event-driven architectures.

Preferred Skills Familiarity with NoSQL databases (e.g., DynamoDB, MongoDB). Hands-on experience with AWS services, particularly: AWS Lambda (serverless functions). AWS Cognito (authentication and user management). AWS S3, API Gateway, and DynamoDB. Familiarity with CI/CD pipelines and testing frameworks. Work Style Agile and SCRUM methodologies for collaborative and efficient project delivery. Excellent communication and teamwork skills. Nika S.A. is a forward-thinking tech firm in Armenia, driving digital transformation through high-end software engineering. As a company, we are committed to staying ahead of the curve, specializing in the creation of responsive, user-centric platforms designed for global reach. Our culture is vibrant, energetic, and professional . We believe that the best products are built by teams that are given the tools and the freedom to innovate. At Nika S.A., we leverage the latest in JavaScript technologies and cloud-ready architectures to deliver seamless experiences in a rapidly evolving market. Join a Team That Values: Innovation: We encourage a ""fail fast, learn faster"" mindset within a supportive, professional framework. Collaboration: A young, diverse team where open communication and collective problem-solving are the norms. Impact: The opportunity to work on high-traffic applications where your code directly affects the user experience. If you are a proactive professional seeking a career in a company that balances a dynamic startup energy with corporate stability , Nika S.A. is the place for you. See more",Software Engineering
job.am,aggregator,https://job.am/en/job/senior-front-end-software-developer-71596,Senior Front-end Software Developer,Nika S.A,Yerevan,"Full Time, Contract",Senior,,,2026-03-25,,"Development: Build and scale complex UIs using Next.js and React.js . Architecture: Design and implement System Architecture solutions , leveraging Cloud environments for optimized deployment. PWA: Develop and maintain Progressive Web Applications to enhance mobile user engagement. Engineering: Write clean, efficient TypeScript and integrate with RESTful/GraphQL APIs . Quality & Mentorship: Lead code reviews and mentor team members to maintain rigorous engineering standards. Optimization: Ensure cross-browser compatibility and maximize application speed for high-traffic environments.

iGaming Experience: Proven track record within the iGaming industry. Front-end Expertise: 5+ years of experience with Next.js, React.js, TypeScript , and ES6+ . PWA Mastery: Demonstrated experience building and deploying Progressive Web Apps . Cloud Architecture: Familiarity with System Architecture and deploying front-end solutions in Cloud environments (AWS/GCP/Azure). Version Control: Proficiency in Git and modern CI/CD workflows. Communication: Fluent English and a collaborative, problem-solving mindset.",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-full-stack-developer-nuxt-php-at-12go-4342626325?refId=slnzpiXctw%2FU4bJ1K5wpLA%3D%3D&trackingId=UpirGroatyGnLQzx9aIT2Q%3D%3D&position=15&pageNum=0,"Senior Full Stack Developer (Nuxt, PHP)",12Go,Armenia,Contract,Mid-Senior level,IT Services and IT Consulting,2025-12-08,,,"Connect with us to connect the world.

Are you prepared to join the R&D team at 12Go and help us build the leading online travel platform, providing seamless booking experiences for travelers worldwide?

12Go, being a part of Travelier group, offers a wide range of transportation options, including trains, buses, ferries, and flights, to help customers travel conveniently and affordably. Our vision is to enable any customer to instantly book any route in the world.

In our R&D department you will get to work on groundbreaking solutions that reshape how people explore the world, using a modern tech stack and following top industry standards to ensure security, scalability, and a reliable travel experience. You will thrive in a collaborative culture where passionate colleagues love sharing ideas, and your work will have a real impact on our users' travel adventures.

Join us in crafting this exciting journey, where your contribution will be key to our success!

Responsibilities:

Collaborate with front-end team to develop and update parts of site for new distribution integrations (mini-app solutions, white label solutions);Build and maintain APIs and data pipelines for partner bookings;Collaborate closely with marketing, data, and DevOps teams to ensure system reliability, scalability, and data accuracy;Write clean, maintainable, and well-tested code following best practices and team standards

Requirements

2+ years of experience building, maintaining and optimizing high-load NodeJS applications;Excellent proficiency in JavaScript and TypeScript;Excellent proficiency in HTML and CSS, as well as LESS preprocessor;Expert knowledge of Vue3 and Nuxt;Proficiency in PHP 8;Understanding SOLID principles, ability to write good unit tests;Ability to profile, analyze and optimize web pages;Ability to work with Docker containers;Ability to build efficient SQL queries;Good written and spoken English

Nice to Have:

Proficiency with Symfony;Ability to profile, analyze and optimize web pages;Experience with React;Basic Linux knowledge;Experience with Symfony

Benefits

Engaging work on a product that enables millions of travelers to book their trips daily;Full-time remote working - 5 days week, 8 hours per day;Development opportunities (budget for self-paced learning, global training workshops, online English language classes, e-learning platforms);Internal growth and internal mobility opportunities;Competitive annual leave, sick leave, and public holidays;Annual company offsite in Thailand",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-full-stack-engineer-at-12go-4387694730?refId=fN%2FXnmqoyEy8pp3jsZm0eQ%3D%3D&trackingId=%2B%2FxBiL2gZGWtMuZEIrMNng%3D%3D&position=11&pageNum=0,Senior Full Stack Engineer,12Go,Armenia,Contract,Mid-Senior level,IT Services and IT Consulting,2026-03-19,,,"Connect with us to connect the world.

Are you prepared to join the R&D team at 12Go and help us build the leading online travel platform, providing seamless booking experiences for travelers worldwide?

12Go, being a part of Travelier group, offers a wide range of transportation options, including trains, buses, ferries, and flights, to help customers travel conveniently and affordably. Our vision is to enable any customer to instantly book any route in the world.

In our R&D department you will get to work on groundbreaking solutions that reshape how people explore the world, using a modern tech stack and following top industry standards to ensure security, scalability, and a reliable travel experience. You will thrive in a collaborative culture where passionate colleagues love sharing ideas, and your work will have a real impact on our users' travel adventures.

We are looking for a Full Stack Engineer (from Junior to Senior levels) to build and improve high-traffic product features across the 12Go platform. You will work on backend services, frontend applications, and platform integrations, helping deliver scalable and reliable solutions across multiple product domains such as affiliate networks, external B2B partners, SEO, CRM, PPC, and internal tools. This role is designed for engineers who are strong in either frontend or backend development, with the ability and interest to contribute across the stack when needed. You will collaborate closely with product, marketing, data, and infrastructure teams to ensure our systems remain fast, reliable, and scalable.

Join us in crafting this exciting journey, where your contribution will be key to our success!

Responsibilities:

Product Development

Build product features across backend APIs, frontend interfaces, and integrations, with the opportunity to focus primarily on either frontend or backend while contributing across the stack when needed

Backend Systems

Develop and maintain backend services and APIs powering the 12Go platform, including integrations with affiliate networks and external B2B partners, as well as internal systems and marketing platforms;Stack: PHP (Symfony) primary backend + ability to work with NodeJS or Python pipelines

Frontend Applications

Develop and improve modern frontend applications using Vue / Nuxt, ensuring high performance and excellent user experience;Stack: Hands-on experience with Vue and Nuxt with SSR;Nice to have: LESS / SCSS, Storybook, Playwright, CapacitorJS;Ability to work with other modern frontend libraries and frameworks (React) is a plus

Data & Integrations

Build and maintain integrations with external systems such as affiliate networks, external B2B partners, CRM platforms, marketing platforms, and analytics pipelines;Nice to have: Strong SQL (MySQL / MariaDB) and query optimization for high-traffic systems

Performance & Scalability

Ensure high performance and reliability of services and web pages, optimizing queries, APIs, and frontend performance for high-traffic environments

Code Quality

Write clean, maintainable, and well-tested code following engineering best practices and team standards

AI-Assisted Development

Ability to effectively use AI-assisted development tools to improve productivity, code quality, and development efficiency, while maintaining strong engineering judgment and code ownership

Collaboration

Work closely with product, marketing, data, SEO, and DevOps teams to translate business goals into technical solutions

Engineering Culture

Participate in code reviews, architecture discussions, and Agile ceremonies, while taking ownership of the quality of your work

Requirements

5+ years of professional experience in full stack development on either frontend or backend;Good written and spoken English;Adapts quickly to changing requirements and evolving tech stack (learning mindset)

Benefits

Engaging work on a product that enables millions of travelers to book their trips daily;Full-time remote working - 5 days week, 8 hours per day;Development opportunities (budget for self-paced learning, global training workshops, online English language classes, e-learning platforms);Internal growth and internal mobility opportunities;Competitive annual leave, sick leave, and public holidays;Annual company offsite in Thailand

What should I do to dive into 12Go company culture?

Apply! Update your CV and get ready to experience the best interview flow with our top talents.

We can't wait to see you and share this awesome adventure together!",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/full-stack-developer-with-focus-on-angular-located-geographically-in-emea-at-acro-companion-4332005552?refId=slnzpiXctw%2FU4bJ1K5wpLA%3D%3D&trackingId=oXK03ipYU89w8VKY85kgtA%3D%3D&position=19&pageNum=0,Full-stack developer with focus on Angular (Located geographically in EMEA),Acro Companion,Armenia,Full-time,Not Applicable,Software Development,2025-10-27,,,"The Role

Role Overview:

As a member of our development team, you'll be instrumental in implementing and analysing features for our Angular-based web application. You will use the cutting-edge versions of Angular (signals, zoneless), NX, google cloud + node, No-SQL + SQL firebase, python for deep learning models for real-time judging and for operational research, …

Location:

Our team is located in different areas of the world (Tunisia, Portugal, Belgium) and works remotely.

We are open to team members located between timezones GMT - 2 => GMT + 4, North Africa & Africa, Middle East, Portugal, Eastern Europe.

Requirements

Ideal Profile:

(!! please do not apply if you don't have 4 years of non-internship experience. We are very sorry but we are not open to early junior profiles)

REQUIRED: Proficiency in Angular and TypeScript. A minimum of 3 years actual professional experience in Angular. Make sure to understand the foundations of Angular. How does Zone.js work? What is the difference between signals and observables? ...REQUIRED: Professional-level English. Our team communicates in English. Your English doesn't have to be perfect, but you need to be able to discuss with your team members easily.REQUIRED: Familiarity with HTML, CSS, and responsive design principlesREQUIRED: Excellent problem-solving skills and attention to detailREQUIRED: Collaboration, openness and willingness to learn in an agile development environment

Bonus Skills

Understanding of Firebase services (Firestore, Authentication, Cloud Messaging, etc.)Knowledge of serverless architecture (Firebase Cloud Functions)Experience with version control systems (Git)Understanding of UX/UI principlesPrevious experience with Scrum or other agile methodologies

What's on Offer?

Work within a company with a solid track record of successWork alongside & learn from best in class talentOpportunity to make a positive impact",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-software-engineer-at-aderant-4371449125?refId=76EXBB9C7AFwMM%2Bn%2FBrnWg%3D%3D&trackingId=tTTQQ9SspXaiM%2F%2BvmUIr%2BA%3D%3D&position=17&pageNum=1,Senior Software Engineer,Aderant,"Yerevan, Armenia",Full-time,Mid-Senior level,Software Development,2026-03-20,,,"Aderant is a global industry leading software company providing comprehensive business management solutions for law firms and other professional services organizations with a mission to help them run a better business. We are motivated by a collective desire to drive the legal industry to the forefront of innovation. With over 2,500 clients around the world, including 95 of the top AmLaw 100 firms, we are changing the outside perception of the legal sphere; where there was once resistance to modernization, we are creating a culture that embraces new ideas and technology.

At Aderant, the “A” is more than just a letter. It is a representation of how we fulfill our foundational purpose, serving our clients. It embodies our core values and reminds us that to achieve success, every day must start with the “A”. We bring the “A” to life by fostering a culture of innovation, collaboration, and personal growth. We encourage our diverse teams to bring their whole selves to work – ideas, experience, and passion – to drive our mission forward.

Our people are our strength.

Role Description

We are looking for a Senior Software Engineer who thrives in both collaborative and independent environments. This individual should have a deep understanding of the software development lifecycle—from architecture and development to testing and deployment. You will design, build, and maintain efficient, reusable, and reliable code with a focus on modern web technologies, cloud-native architecture, and the practical use of AI tools to enhance engineering productivity.

This role requires hands-on experience with cloud services (AWS or Azure), API development, and full-stack application development using languages like Python, TypeScript, NestJS (Node) and familiarity with C# (.NET). You’ll play a key part in agile teams, participating in architecture design sessions, proofs of concept, and technical demonstrations.

Responsibilities

Design and develop scalable, secure, and maintainable cloud-based applications and APIs using Python, TypeScript, NestJS (Node).Utilize AI tools to enhance development efficiency, automate testing, and support documentation.Build modern web interfaces using TypeScript and frameworks like React or Next.Implement identity and access controls using Okta and other cloud auth providers.Leverage cloud tools in AWS and AzureConsume and build RESTful APIs, integrating with both SQL and NoSQL data storesParticipate in agile development methodologies including Scrum, and contribute to sprint planning, daily standups, and retrospectives.Collaborate with cross-functional teams in architecture design, technical reviews, and troubleshooting complex issues.Maintain high code quality through testing, automation, and continuous integration.

Qualifications

Bachelor’s or Master’s degree in Computer Science, Engineering, or equivalent experience4+ years of professional software development experience.Strong experience in web technologies, API development/consumption, and full-stack application development.Hands-on expertise with cloud-native development patterns.Proficiency in Python or TypeScript or NodeJSFamiliarity with microservices, DDD, event-driven systems.Proficient with container technologies, including Docker and Kubernetes.Familiarity with DevOps pipelines, Git, Github - GH Actions, and Infrastructure-as-Code tools.Experience with modern testing practices.Demonstrated ability to work on both greenfield and legacy systems in agile team environments.

Preferred Qualifications

Experience with Python is a strong plus.Experience with Terraform, Helm is strong plus.Prior experience integrating or working with AI-assisted tools in development workflows.AWS/Azure certifications or other relevant cloud credentials.",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/software-development-engineer-java-at-adobe-4326217546?refId=fN%2FXnmqoyEy8pp3jsZm0eQ%3D%3D&trackingId=mtUP7uLX0JkfWyx%2FrRBamg%3D%3D&position=23&pageNum=0,Software Development Engineer (Java),Adobe,"Yerevan, Yerevan, Armenia",Full-time,Not Applicable,Software Development,2026-03-11,,,"The Opportunity

Join Adobe as a Software Development Engineer in Yerevan, where you will be part of a hardworking team that drives the innovation behind our world-class products. This role offers an outstanding chance to contribute to innovative projects and help develop the future of digital experiences. You will collaborate with ambitious colleagues and have the opportunity to see your ideas come to life in a global marketplace.

What you'll do

Design, develop, test, and deliver robust software solutions in collaboration with other engineers and product teams. Translate business and user requirements into efficient, scalable technical solutions. Participate actively in all phases of the software development lifecycle, from planning to deployment and maintenance. Write clean, maintainable, and well-documented code following the best engineering practices. Contribute to system design discussions and architectural improvements. Collaborate with various teams to guarantee product reliability, performance, and scalability. Continuously identify areas for improvement in code quality, performance, and team processes. 

What you need to succeed

5+ years of programming experience with Java technologies, 3+ years of recent experience in Spring. Experience with data technologies like RDBMS, NoSQL, Kafka, etc. Experience with any of the cloud platforms (AWS, GCP, or Azure ). Experience in real-time or massively distributed systems. Experience researching solutions to problems and pitching your ideas to senior team members. Demonstrate a high level of ownership for the entire SDLC, including testing, building, deployment, and support of production systems. A passion for innovation, technology, and a drive to compete in a dynamic industry. Ability to work in a collaborative environment and communicate effectively with team members. Knowledge of technologies like JavaScript, React.js, Docker, Kotlin, etc. will be encouraged. Good knowledge of English and Armenian. 

About Adobe

Adobe empowers everyone to create through innovative platforms and tools that unleash creativity, productivity and personalized customer experiences. Adobe’s industry-leading offerings including Adobe Acrobat Studio, Adobe Express, Adobe Firefly, Creative Cloud, Adobe Experience Platform, Adobe Experience Manager, and GenStudio enable people and businesses to turn ideas into impact, powered by AI and driven by human ingenuity.

Our 30,000+ employees worldwide are creating the future and raising the bar as we drive the next decade of growth. We’re on a mission to hire the very best and believe in creating a company culture where all employees are empowered to make an impact. At Adobe, we believe that great ideas can come from anywhere in the organization. The next big idea could be yours.

Let’s Adobe together

At Adobe, we believe in creating a company culture where all employees are empowered to make an impact. Learn more about Adobe life, including our values and culture, focus on people, purpose and community, Adobe for All, comprehensive benefits programs, the stories we tell, the customers we serve, and how you can help us advance our mission of empowering everyone to create.

Adobe is proud to be an Equal Employment Opportunity employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other protected characteristic. Learn more.

Adobe aims to make our Careers website and recruiting process accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call +1 408-536-3015.

AI Use Guidelines for Interviews:

Our interviews are designed to reflect your own skills and thinking. The use of AI or recording tools during live interviews is not permitted unless explicitly invited by the interviewer or approved in advance as part of a reasonable accommodation. If these tools are used inappropriately or in a way that misrepresents your work, your application may not move forward in the process.

At Adobe, we empower employees to innovate with AI — and we look for candidates eager to do the same. As part of the hiring experience, we provide clear guidance on where AI is encouraged during the process and where it’s restricted during live interviews. See how we think about AI in the hiring experience.",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/sr-software-development-engineer-node-js-at-adobe-4368745338?refId=w0sZAU75aHz6%2F61YArGqHQ%3D%3D&trackingId=TK6d7tfq9vsDLvGR0FeAKw%3D%3D&position=6&pageNum=2,Sr. Software Development Engineer (Node.js),Adobe,"Yerevan, Yerevan, Armenia",Full-time,Not Applicable,Software Development,2026-03-19,,,"The Opportunity

Join Adobe in Yerevan as a Senior Software Engineer and be at the forefront of crafting world-class digital experiences! This is your chance to work on exceptionally ambitious projects that impact millions of users globally. At Adobe, we firmly believe in encouraging an inclusive environment where collaboration and innovation flourish. Your role will be to lead a dynamic team, identify dependencies, and successfully implement improvements to our engineering practices. This position offers the outstanding opportunity to build the future of digital solutions while driving your professional growth.

What you’ll do

Participate in all aspects of the Software Development Life Cycle (SDLC), from development and code review to testing and documentation. Develop new features that delight and encourage marketers, IT professionals, and other knowledge workers worldwide. Build engineering solutions that tackle sophisticated problems and perform seamlessly at a large scale. Engage in technical discussions to determine the most efficient architecture and ideal user experience for new features. Lead conversations about emerging tools, technologies, and processes that will improve our SaaS platform. Provide valuable insights on the creation and modification of our technology roadmaps. 

What you need to succeed

5-7 years of programming experience with at least 3 years of recent experience in Node.js. Strong knowledge of Database basics, including joins, constraints, stored procedures, triggers, and schema development. Ability to translate issues into an Object-Oriented world, addressing both functional and non-functional system needs. High level of ownership for the entire SDLC, including architecture, build, validation, deployment, and support of production systems. Experience in optimizing software for speed, reliability, and safety – O(n) analysis should be second nature. Expertise in coordinating multiple services using various communication/coordination mechanisms. Proven experience with parallelism techniques and debugging complex issues in a distributed environment. Familiarity with technologies like Docker, Kubernetes, NoSQL, Kafka, ElasticSearch, AWS, and GCP is highly encouraged. 

About Adobe

Adobe empowers everyone to create through innovative platforms and tools that unleash creativity, productivity and personalized customer experiences. Adobe’s industry-leading offerings including Adobe Acrobat Studio, Adobe Express, Adobe Firefly, Creative Cloud, Adobe Experience Platform, Adobe Experience Manager, and GenStudio enable people and businesses to turn ideas into impact, powered by AI and driven by human ingenuity.

Our 30,000+ employees worldwide are creating the future and raising the bar as we drive the next decade of growth. We’re on a mission to hire the very best and believe in creating a company culture where all employees are empowered to make an impact. At Adobe, we believe that great ideas can come from anywhere in the organization. The next big idea could be yours.

Let’s Adobe together

At Adobe, we believe in creating a company culture where all employees are empowered to make an impact. Learn more about Adobe life, including our values and culture, focus on people, purpose and community, Adobe for All, comprehensive benefits programs, the stories we tell, the customers we serve, and how you can help us advance our mission of empowering everyone to create.

Adobe is proud to be an Equal Employment Opportunity employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other protected characteristic. Learn more.

Adobe aims to make our Careers website and recruiting process accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call +1 408-536-3015.

AI Use Guidelines for Interviews:

Our interviews are designed to reflect your own skills and thinking. The use of AI or recording tools during live interviews is not permitted unless explicitly invited by the interviewer or approved in advance as part of a reasonable accommodation. If these tools are used inappropriately or in a way that misrepresents your work, your application may not move forward in the process.

At Adobe, we empower employees to innovate with AI — and we look for candidates eager to do the same. As part of the hiring experience, we provide clear guidance on where AI is encouraged during the process and where it’s restricted during live interviews. See how we think about AI in the hiring experience.",Software Engineering
linkedin,aggregator,https://am.linkedin.com/jobs/view/senior-software-engineer-c%2B%2B-at-align-technology-4382271633?refId=dS8nJqSayPlU4k3b7gYxeA%3D%3D&trackingId=mDZTj2Frl09Q0pzBtCGmYQ%3D%3D&position=16&pageNum=6,"Senior Software Engineer, C++",Align Technology,"Yerevan, Yerevan, Armenia",Full-time,Mid-Senior level,Medical Equipment Manufacturing,2026-03-10,,,"Department: Research & Development

Location: EMEA-Armenia-Yerevan

Description

This position is ideal for experienced C++ engineers to join our team in C++ platform of automated treatment planning software for our Invisalign products. You will join a team responsible for the core of cross-platform 3D CAD software. As a Sr. Software Engineer, you will participate in … in high quality modern C++ code in a regulated environment.

Key Responsibilities

Work in an agile team of developers and SQAs and collaborate with other development teams.Write high quality idiomatic C++ 17 code with full test coverage.Write technical documentation for newly implemented functionality.Interact closely with clinical experts, project managers, and product owners, to understand problems, analyze specifications, formalize functional requirements, and prepare and deliver technical presentations and demos.Work on clinical data model transformation in safe and robust mannerProactively decrease technical debt in the existing codebaseInvestigate and implement bug fixes and identify opportunities for code refactoring and reliability and performance improvements.Research and propose new technologies suitable to increase code quality, create prototypes and proofs of concept.Take part in internal coding standards evolution.Participate in architectural design and project planning, design and sizing, and code and design reviews.Follow architectural, quality, and regulatory guidelines for medical device software development, demonstrate technical leadership, assist and mentor other developers, and uphold high standards of trust, responsibility, and professionalism.Identify/mitigate risks and participate in production monitoring and support as needed.

Skills, Knowledge & Expertise

Education: Bachelor’s or Master’s degree in Computer Science, Applied Mathematics, or related field.

Experience

8+ years of professional experience in similar positions, developing enterprise / commercial software, preferably in agile SDLC.5+ years of practical experience and excellent knowledge of modern C++ development (C++17 and above)

Skills:

Strong proficiency in C++ (17 or newer) and STLKnowledge of Python.Experience in Windows developmentExperience in Linux developmentHighly motivated, creative, self-starter, with excellent organizational, communication and interpersonal skills and a “can do” attitude.Ability to work on open-ended research problems.

Complementary skills:

Experience with MS Visual Studio and MSBuildExperience in cross-platform developmentKnowledge of GitExperience with C++ unit testing frameworks (e.g. Google Test).Experience with Conan package managerExperience in legacy code refactoring and modernizationExperience in CI/CD pipelines and knowledge of tools, methodologies, and frameworks for automatic software testing and monitoring.Cloud-based (AWS) software developmentMathematical background, and knowledge of optimization methods, linear algebra, analytical geometry, and/or 3D graphics on a university level.Experience working in highly regulated industries (such as Banking, Financial, Healthcare, Medical Devices, Aerospace, etc.)

Applicant Privacy Policy

Review our Applicant Privacy Policyfor additional information.

Equal Opportunity Statement

Align Technology is an equal opportunity employer. We are committed to providing equal employment opportunities in all our practices, without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, disability, sexual orientation, gender identity or expression, or any other legally protected category. Applicants must be legally authorized to work in the country for which they are applying, and employment eligibility will be verified as a condition of hire.",Software Engineering
