extracted_skill,top1_esco_label,top1_esco_uri,cosine_similarity,sim_band,is_match,annotator_notes
mechanisms patterns,operate patternmaking machinery,http://data.europa.eu/esco/skill/cd7f6863-34cb-40fa-96d9-1de80b6c862b,0.511262834072113,<0.60,0,gpt-4o-mini
keypads lcd,operate screen printing press,http://data.europa.eu/esco/skill/731ade90-4fdc-4509-9a1f-3f35a34f5141,0.4422087371349334,<0.60,0,gpt-4o-mini
process infuse academy,application process,http://data.europa.eu/esco/skill/4fb87cb4-6442-4b5d-8bd0-eb1aa743a9ee,0.5107207894325256,<0.60,0,gpt-4o-mini
biggest names gaming,video-games trends,http://data.europa.eu/esco/skill/44a117a9-4443-43a4-b037-23c716af671e,0.532163143157959,<0.60,0,gpt-4o-mini
dhcp,Cisco,http://data.europa.eu/esco/skill/709ef32a-7435-48e2-8fa2-16e389ecab8a,0.3943414390087127,<0.60,0,gpt-4o-mini
retention,develop employee retention programs,http://data.europa.eu/esco/skill/f77b73f0-8c65-4389-a3ae-3a57a73ad148,0.5935313701629639,<0.60,0,gpt-4o-mini
points view subfields,monitor fields,http://data.europa.eu/esco/skill/70f89c90-0290-4fbb-a91a-d433a5f28b15,0.4772002100944519,<0.60,0,gpt-4o-mini
mathematical analysis rn,mathematics,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,0.581727921962738,<0.60,1,gpt-4o-mini
models proficiency python,Python (computer programming),http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,0.5284362435340881,<0.60,1,gpt-4o-mini
led demonstrated,LED lighting components,http://data.europa.eu/esco/skill/80d8e893-44ef-442a-a796-f1660acd570e,0.5515669584274292,<0.60,0,gpt-4o-mini
world think love,think creatively,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,0.4958401024341583,<0.60,0,gpt-4o-mini
gateway specialist organize,manage airport workshops,http://data.europa.eu/esco/skill/bbce18c7-c3d9-4f50-8519-9a9db7033e03,0.4888635873794555,<0.60,0,gpt-4o-mini
մասնագետ job,salon management,http://data.europa.eu/esco/skill/59b4f49d-a82a-4206-ba93-3e423640de22,0.4434431493282318,<0.60,0,gpt-4o-mini
switchers experience live,perform live,http://data.europa.eu/esco/skill/04e6474d-f6fd-4e60-9191-24faae8ba0bb,0.4771203994750976,<0.60,1,gpt-4o-mini
developer tools earth,use earth sciences tools,http://data.europa.eu/esco/skill/16765acd-6ed2-40ae-9900-bfbda5d6dc57,0.5556434988975525,<0.60,0,gpt-4o-mini
possible extension,find appropriate extras,http://data.europa.eu/esco/skill/478b826b-21a3-464d-a697-faef4faa7dc1,0.4277842342853546,<0.60,0,gpt-4o-mini
fit department department,manage university department,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,0.5507386922836304,<0.60,0,gpt-4o-mini
постоянного профессионального развития,understand written Russian,http://data.europa.eu/esco/skill/ca58a2d3-b901-42b2-b85f-b2b83aeadbea,0.4243644177913666,<0.60,0,gpt-4o-mini
expressjs nestjs framework,JavaScript Framework,http://data.europa.eu/esco/skill/9b9de2a4-d8af-4a7b-933a-a8334ae60067,0.4324663579463959,<0.60,1,gpt-4o-mini
syntactic analyzers,natural language processing,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a,0.5357164144515991,<0.60,0,gpt-4o-mini
german phonological grammatical,grammar,http://data.europa.eu/esco/skill/d4ae9564-0b61-4aa0-9df0-d4fdc969fd6f,0.5949057340621948,<0.60,0,gpt-4o-mini
taking care,give care instructions,http://data.europa.eu/esco/skill/cde53fc6-f5e9-4439-8b91-a53da0c01d34,0.5754963159561157,<0.60,0,gpt-4o-mini
random,probability theory,http://data.europa.eu/esco/skill/b758675a-b03b-4e4b-897c-57ca14b1a3d0,0.4566769599914551,<0.60,0,gpt-4o-mini
brandbook inteticsgeo visual,interpret visual literacy,http://data.europa.eu/esco/skill/1f403e44-7a79-4b91-b86a-e406208be161,0.5452463030815125,<0.60,0,gpt-4o-mini
tools streamline,use traditional toolbox tools,http://data.europa.eu/esco/skill/b1338cfb-930c-4bcb-b77a-1034d76ddb0e,0.5051575303077698,<0.60,0,gpt-4o-mini
file based ingestion,file-based workflow,http://data.europa.eu/esco/skill/a35b9b1c-ebfe-41ac-96be-2a7b2ea04670,0.5147566795349121,<0.60,0,gpt-4o-mini
pure developer,DevOps,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,0.481824517250061,<0.60,0,gpt-4o-mini
rejections bad feedback,give constructive feedback,http://data.europa.eu/esco/skill/b9bb1f03-15e2-4079-943e-7e483b21725b,0.5631176233291626,<0.60,0,gpt-4o-mini
arnology llc seeking,patents,http://data.europa.eu/esco/skill/1349751e-dfb5-492e-89af-e7d9bd2546ac,0.4286621510982513,<0.60,0,gpt-4o-mini
integrate secure restful,secure working area,http://data.europa.eu/esco/skill/6ed2fb8d-3580-497f-8a21-30a0ada5caae,0.4505718350410461,<0.60,0,gpt-4o-mini
company jobhire ai,recruit employees,http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b,0.5416179895401001,<0.60,0,gpt-4o-mini
utilities,design utility equipment,http://data.europa.eu/esco/skill/465af498-53b1-4e04-9f49-7458afb59274,0.5937376618385315,<0.60,0,gpt-4o-mini
implementation rest graphql,NoSQL,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c,0.5430787801742554,<0.60,0,gpt-4o-mini
senior agent role,adapt to acting roles,http://data.europa.eu/esco/skill/f34ee429-b36d-49f9-a927-80b67a467cc8,0.520095944404602,<0.60,0,gpt-4o-mini
foundation computer,computer graphics,http://data.europa.eu/esco/skill/afda6ca0-7aa8-41ef-ba5e-8dc607839daf,0.4894411563873291,<0.60,0,gpt-4o-mini
smm marketing intern,marketing management,http://data.europa.eu/esco/skill/5bbaa0e6-0fd7-4df2-9db7-34f78b40dc34,0.5747207403182983,<0.60,0,gpt-4o-mini
workflows writing clean,enhance production workflow,http://data.europa.eu/esco/skill/8add048c-4d51-41c5-8aa2-f57412c4a637,0.5560083389282227,<0.60,0,gpt-4o-mini
connects ecommerce erp,e-commerce systems,http://data.europa.eu/esco/skill/b1272de4-1f5f-408b-8b26-061f2550fc72,0.5220796465873718,<0.60,0,gpt-4o-mini; corrected by human reviewer
field outline,develop course outline,http://data.europa.eu/esco/skill/f0699875-51da-48d2-bc92-54b0749baef1,0.5166075229644775,<0.60,0,gpt-4o-mini
streaming platforms,hardware platforms,http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81,0.59059739112854,<0.60,0,gpt-4o-mini
tensorflow solid,solid mechanics,http://data.europa.eu/esco/skill/a4557e97-d7f9-4669-88b0-c57591acce80,0.4674219489097595,<0.60,0,gpt-4o-mini
banach spaces,measure interior space,http://data.europa.eu/esco/skill/98256736-57a9-4773-98ff-0627ac790546,0.3827816247940063,<0.60,0,gpt-4o-mini
feedback shift registers,maintain genetic registers,http://data.europa.eu/esco/skill/a5ba32c2-ae96-4601-b171-dcc84ea20657,0.443955510854721,<0.60,0,gpt-4o-mini
squads,team building,http://data.europa.eu/esco/skill/eab3bafa-eebb-47bf-85ce-e336c5019108,0.6196516156196594,0.60-0.65,0,gpt-4o-mini
thinking abilities analyze,think analytically,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,0.6290145516395569,0.60-0.65,1,gpt-4o-mini
linguistic means according,linguistics,http://data.europa.eu/esco/skill/810df100-e85a-4c13-b619-34030a75ecc2,0.6386148929595947,0.60-0.65,0,gpt-4o-mini
images videos,select video shots,http://data.europa.eu/esco/skill/8070c968-5a62-4fbf-8881-b4cd1fc36190,0.6190488934516907,0.60-0.65,0,gpt-4o-mini
exhibition stands metal,present exhibition,http://data.europa.eu/esco/skill/c45848bc-33c6-45fa-b791-bc5b06c21b87,0.6464160680770874,0.60-0.65,0,gpt-4o-mini
transact,transcreation,http://data.europa.eu/esco/skill/fa2ea1d0-0d7e-4834-a70f-a35011509c2e,0.608141303062439,0.60-0.65,0,gpt-4o-mini
shifting,coordinate shifts,http://data.europa.eu/esco/skill/281a0cb1-4e12-46f4-ba4a-2746cba36e78,0.6446641087532043,0.60-0.65,0,gpt-4o-mini
ux motion designer,work with motion picture editing team,http://data.europa.eu/esco/skill/12154830-df49-42d6-95b3-6f83f29733d5,0.6372340321540833,0.60-0.65,0,gpt-4o-mini
customers assigned csm,perform customer management,http://data.europa.eu/esco/skill/91306a20-9b81-4f3d-97eb-f5368b607da7,0.6322017312049866,0.60-0.65,0,gpt-4o-mini
goal improving metrics,analyse goal progress,http://data.europa.eu/esco/skill/dbfb9dda-48d9-4a10-9821-3237f868071b,0.6408789157867432,0.60-0.65,0,gpt-4o-mini
technologies web,learning technologies,http://data.europa.eu/esco/skill/7fc4c18a-68f3-425a-aadf-f83633be47a1,0.6223152279853821,0.60-0.65,0,gpt-4o-mini
firewall appliance service,implement a firewall,http://data.europa.eu/esco/skill/e5b5053e-0ef6-4c4e-a3f2-42f955f4322c,0.6318547129631042,0.60-0.65,0,gpt-4o-mini
process funnels,business processes,http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5,0.6315006613731384,0.60-0.65,0,gpt-4o-mini
business unit leaders,lead managers of company departments,http://data.europa.eu/esco/skill/3e61ee41-2bd9-466f-b313-00ce04072410,0.6091536283493042,0.60-0.65,1,gpt-4o-mini
pipelines etl processes,perform pipeline routing studies,http://data.europa.eu/esco/skill/a46b6220-7313-4b3b-9bdb-cca897aff546,0.6450400352478027,0.60-0.65,0,gpt-4o-mini
computation,carry out calculations,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,0.6418216228485107,0.60-0.65,1,gpt-4o-mini
practices client,manage difficult clients,http://data.europa.eu/esco/skill/44985078-6f4c-42b2-bceb-a37ea224b21d,0.6400166153907776,0.60-0.65,0,gpt-4o-mini
inference,logic,http://data.europa.eu/esco/skill/294cf13e-4fdf-4cb8-bb6b-31b9da7f4819,0.6101871728897095,0.60-0.65,0,gpt-4o-mini
